"";"Duration__in_seconds_";"Finished";"RecordedDate";"ResponseId";"Q6___R_gulation_cogn_1";"Q6___R_gulation_cogn_2";"Q6___R_gulation_cogn_3";"Q6___R_gulation_cogn_4";"Q6___R_gulation_cogn_5";"Q6___R_gulation_cogn_6";"Q6___R_gulation_cogn_7";"Q6___R_gulation_cogn_8";"Q6___R_gulation_cogn_9";"Q6___R_gulation_cogn_10";"Q6___R_gulation_cogn_11";"Q6___R_gulation_cogn_12";"Q6___R_gulation_cogn_13";"Q6___R_gulation_cogn_14";"Q6___R_gulation_cogn_15";"Q6___R_gulation_cogn_16";"Q6___R_gulation_cogn_17";"Q6___R_gulation_cogn_18";"Q7___Alim_intuitive_1";"Q7___Alim_intuitive_2";"Q7___Alim_intuitive_3";"Q7___Alim_intuitive_4";"Q7___Alim_intuitive_5";"Q7___Alim_intuitive_6";"Q7___Alim_intuitive_7";"Q7___Alim_intuitive_8";"Q7___Alim_intuitive_9";"Q7___Alim_intuitive_10";"Q7___Alim_intuitive_11";"Q7___Alim_intuitive_12";"Q7___Alim_intuitive_13";"Q7___Alim_intuitive_14";"Q7___Alim_intuitive_15";"Q7___Alim_intuitive_16";"Q7___Alim_intuitive_17";"Q7___Alim_intuitive_18";"Q7___Alim_intuitive_19";"Q7___Alim_intuitive_20";"Q7___Alim_intuitive_21";"Q7___Alim_intuitive_22";"Q7___Alim_intuitive_23";"Q9_Alim_emotionnel";"Q10_Alim_emotionnel";"Q11_Alim_emotionnel";"Q12___Estime_corpore_1";"Q12___Estime_corpore_2";"Q12___Estime_corpore_3";"Q12___Estime_corpore_4";"Q12___Estime_corpore_5";"Q12___Estime_corpore_6";"Q12___Estime_corpore_7";"Q12___Estime_corpore_8";"Q12___Estime_corpore_9";"Q12___Estime_corpore_10";"Q12___Estime_corpore_11";"Q12___Estime_corpore_12";"Q12___Estime_corpore_13";"Q12___Estime_corpore_14";"Q12___Estime_corpore_15";"Q12___Estime_corpore_16";"Q12___Estime_corpore_17";"Q12___Estime_corpore_18";"Q12___Estime_corpore_19";"Q12___Estime_corpore_20";"Q12___Estime_corpore_21";"Q12___Estime_corpore_22";"Q12___Estime_corpore_23";"Q13___Internalisatio_1";"Q13___Internalisatio_2";"Q13___Internalisatio_3";"Q13___Internalisatio_4";"Q13___Internalisatio_5";"Q13___Internalisatio_6";"Q13___Internalisatio_7";"Q13___Internalisatio_8";"Q13___Internalisatio_9";"Q14___QSREIC_1";"Q14___QSREIC_2";"Q14___QSREIC_3";"Q14___QSREIC_4";"Q14___QSREIC_5";"Q14___QSREIC_6";"Q14___QSREIC_7";"Q14___QSREIC_8";"Q14___QSREIC_9";"Q14___QSREIC_10";"Q14___QSREIC_11";"Q14___QSREIC_12";"Q14___QSREIC_13";"Q14___QSREIC_14";"Q14___QSREIC_15";"Q14___QSREIC_16";"Q14___QSREIC_17";"Q14___QSREIC_18";"Q14___QSREIC_19";"Q14___QSREIC_20";"Q14___QSREIC_21";"Q14___QSREIC_22";"Q14___QSREIC_23";"Q14___QSREIC_24";"Q14___QSREIC_25";"Q14___QSREIC_26";"Q14___QSREIC_27";"CERQ_ACC";"CERQ_RUM";"CERQ_REA";"CERQ_CUL";"CERQ_REC";"CERQ_DRA";"CERQ_BLA";"CERQ_PLA";"CERQ_PERS";"CERQ_MAL";"CERQ_ADA";"AI_UPE";"AI_EPPR";"AI_RHSC";"AI_BFC";"AI_total";"BE_APP";"BE_ATT";"BE_Poids";"BE_total";"EE";"Interna";"QSREIC_dramatisation";"QSREIC_planif";"QSREIC_recentrage";"QSREIC_social";"QSREIC_culpa";"QSREIC_refus";"QSREIC_rumination";"QSREIC_physique";"QSREIC_évitement";"QSREIC_ADA";"QSREIC_MAL"
"1";684;1;2022-02-09 10:22:18;"R_1lzAqx3K8KaXyrW";2;2;3;4;4;4;2;2;1;2;2;5;2;2;4;4;2;2;5;5;4;5;5;4;4;4;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;4;4;3;2;3;3;5;1;2;5;4;3;4;5;2;3;1;3;4;4;5;5;1;3;2;2;3;1;1;1;1;1;1;1;1;2;1;2;1;5;3;3;3;2;2;1;2;2;3;3;2;2;2;5;2;2;2;1;2;4;5;2;6;6;5;6;4;3;4;9;6;19;30;29;39;27;15;110;32;8;32;72;11;11;9;8;7;18;5;8;2;2;7;41;25
"2";796;1;2022-02-09 10:24:15;"R_Q6uwkUizEZMaEWR";4;4;5;2;5;4;3;4;2;2;3;3;4;4;4;4;2;2;2;2;4;4;2;4;2;2;5;3;4;4;3;3;4;5;5;4;4;4;2;2;3;2;2;2;3;3;3;2;4;3;3;3;3;3;4;3;3;4;3;4;3;5;5;3;4;3;3;3;3;2;2;4;2;2;2;4;2;3;3;1;2;2;4;4;2;4;2;3;2;2;2;3;2;4;4;1;4;3;3;3;4;4;1;9;8;9;6;6;4;4;7;8;22;39;25;25;15;12;77;32;17;28;77;6;24;8;12;11;14;4;14;3;4;4;51;23
"3";709;1;2022-02-09 10:27:58;"R_1HqqFQTCAHZZxl0";2;4;2;4;2;4;3;4;2;2;2;3;3;2;2;4;3;2;1;2;1;1;5;5;5;5;1;4;4;5;5;5;5;2;4;5;5;5;4;4;4;2;2;3;4;4;4;2;2;3;2;4;3;4;5;4;4;3;4;4;5;2;4;1;1;4;5;2;1;1;1;1;1;2;1;1;3;2;1;2;5;5;3;1;3;5;3;4;1;3;1;2;3;3;5;2;5;4;1;5;4;1;1;4;8;6;6;5;5;4;5;7;23;27;10;35;27;15;87;36;14;28;78;7;11;12;13;7;12;6;17;4;3;4;49;29
"4";1058;1;2022-02-09 10:28:49;"R_300sgaxl6kMFD3N";4;2;4;2;2;4;1;4;2;4;1;3;4;2;2;5;2;2;2;2;3;4;3;4;3;4;1;2;3;3;2;2;2;4;5;4;4;4;3;4;4;3;2;2;2;4;2;2;1;1;1;1;2;1;2;3;3;3;3;1;4;1;1;1;2;2;3;4;4;3;2;2;2;2;2;3;2;2;3;3;4;4;4;5;4;3;2;1;2;4;2;1;1;5;5;1;4;1;3;5;1;5;1;6;6;8;4;2;4;6;5;9;20;30;19;19;22;12;72;23;12;11;46;7;24;11;6;12;19;6;13;1;6;4;50;28
"5";931;1;2022-02-09 10:43:02;"R_3CHg7Ww36SHc7vd";4;4;4;4;3;4;3;3;4;2;2;4;4;4;4;3;4;2;2;3;4;2;2;4;3;3;4;2;4;3;2;2;4;3;4;4;4;4;3;2;3;3;2;1;3;3;2;1;2;3;2;2;2;1;3;3;3;3;3;2;3;3;3;1;1;3;2;5;5;3;5;5;4;3;4;3;2;4;3;4;1;4;4;4;4;2;2;2;2;1;2;2;2;3;3;1;3;3;4;3;4;3;2;7;8;7;8;5;8;4;8;7;28;34;19;22;18;12;71;25;12;17;54;6;37;9;12;10;11;6;10;3;8;5;43;31
"6";607;1;2022-02-09 10:43:34;"R_1j7AdwX4AHUWjYn";1;4;2;3;2;3;3;2;1;1;3;3;2;1;2;2;1;1;2;5;4;5;5;4;4;4;5;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;5;1;4;5;3;3;2;4;4;5;4;4;4;5;5;5;1;4;4;3;1;1;1;1;1;1;1;1;1;1;2;4;1;5;4;4;5;5;5;5;5;1;1;1;5;5;5;5;1;1;1;1;1;1;5;1;3;7;4;4;6;2;2;5;4;15;22;24;36;24;12;96;41;14;31;86;12;9;12;13;13;20;5;12;1;2;3;58;23
"7";583;1;2022-02-09 10:47:08;"R_RgJNfNurqMWe6hb";4;4;4;4;4;3;3;3;2;2;2;3;3;3;2;4;4;2;4;2;4;4;3;4;3;4;5;4;2;3;2;3;4;4;1;4;4;4;3;4;4;2;2;2;4;3;4;3;2;4;4;3;3;3;4;2;3;3;3;3;4;4;4;2;2;3;2;2;3;2;3;2;2;3;2;2;2;3;3;1;2;3;3;5;4;3;3;4;2;1;2;4;5;5;4;5;4;2;2;2;3;2;1;8;7;7;7;5;6;4;5;7;24;32;22;23;22;12;79;33;12;27;72;6;21;12;13;11;13;5;13;2;3;8;50;30
"8";501;1;2022-02-09 10:53:34;"R_22JiGuAMBj1VEgn";4;2;4;1;4;2;4;5;2;1;4;4;5;1;1;5;2;1;2;4;4;5;4;4;5;5;2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;5;4;5;4;1;5;4;5;5;5;5;5;5;5;5;5;5;5;5;1;4;5;5;1;1;1;1;1;1;1;1;1;1;5;5;1;5;4;4;5;5;5;5;5;1;2;1;5;5;5;5;1;1;1;2;5;1;5;1;8;4;9;2;8;4;2;5;10;12;40;23;38;29;15;105;48;16;39;103;12;9;13;16;14;20;5;16;1;3;3;66;25
"9";841;1;2022-02-09 11:13:10;"R_s5NhhhUB1rS8wH7";4;2;4;3;4;2;1;2;2;4;1;2;3;3;2;5;2;2;2;2;4;3;4;4;2;3;5;2;2;3;4;4;3;4;5;2;2;2;3;3;4;2;2;4;2;2;1;4;1;2;2;1;3;1;3;2;3;3;2;1;4;2;3;1;4;2;1;4;1;1;1;1;1;1;1;1;2;2;2;1;3;4;2;3;3;2;1;2;2;1;2;1;1;4;5;2;4;2;4;3;2;5;4;8;4;6;6;2;4;6;4;8;20;28;23;24;19;6;72;26;9;15;50;8;12;7;7;8;16;6;10;2;5;8;41;28
"10";2937;1;2022-02-09 11:20:59;"R_2Ynu21jZGaFaR0B";4;4;4;4;4;5;2;4;2;2;2;5;2;2;5;4;2;2;4;4;5;4;4;4;2;2;5;4;4;5;2;5;5;4;4;4;4;4;2;2;2;3;3;3;4;4;3;3;4;3;3;3;3;3;4;4;4;4;4;4;4;2;5;4;3;4;3;2;1;1;2;4;1;1;1;2;1;3;2;3;3;4;3;4;2;3;3;4;1;2;4;3;2;4;5;2;3;4;4;4;2;3;3;8;9;8;6;4;4;4;10;6;23;36;26;33;14;12;85;35;20;27;82;9;15;7;12;9;15;5;13;4;7;9;49;32
