"";"Duration__in_seconds_";"Finished";"RecordedDate";"ResponseId";"Q6___R_gulation_cogn_1";"Q6___R_gulation_cogn_2";"Q6___R_gulation_cogn_3";"Q6___R_gulation_cogn_4";"Q6___R_gulation_cogn_5";"Q6___R_gulation_cogn_6";"Q6___R_gulation_cogn_7";"Q6___R_gulation_cogn_8";"Q6___R_gulation_cogn_9";"Q6___R_gulation_cogn_10";"Q6___R_gulation_cogn_11";"Q6___R_gulation_cogn_12";"Q6___R_gulation_cogn_13";"Q6___R_gulation_cogn_14";"Q6___R_gulation_cogn_15";"Q6___R_gulation_cogn_16";"Q6___R_gulation_cogn_17";"Q6___R_gulation_cogn_18";"Q7___Alim_intuitive_1";"Q7___Alim_intuitive_2";"Q7___Alim_intuitive_3";"Q7___Alim_intuitive_4";"Q7___Alim_intuitive_5";"Q7___Alim_intuitive_6";"Q7___Alim_intuitive_7";"Q7___Alim_intuitive_8";"Q7___Alim_intuitive_9";"Q7___Alim_intuitive_10";"Q7___Alim_intuitive_11";"Q7___Alim_intuitive_12";"Q7___Alim_intuitive_13";"Q7___Alim_intuitive_14";"Q7___Alim_intuitive_15";"Q7___Alim_intuitive_16";"Q7___Alim_intuitive_17";"Q7___Alim_intuitive_18";"Q7___Alim_intuitive_19";"Q7___Alim_intuitive_20";"Q7___Alim_intuitive_21";"Q7___Alim_intuitive_22";"Q7___Alim_intuitive_23";"Q9___Alim__motionnel";"Q10___Alim__motionne";"Q11___Alim__motionne";"Q12___Estime_corpore_1";"Q12___Estime_corpore_2";"Q12___Estime_corpore_3";"Q12___Estime_corpore_4";"Q12___Estime_corpore_5";"Q12___Estime_corpore_6";"Q12___Estime_corpore_7";"Q12___Estime_corpore_8";"Q12___Estime_corpore_9";"Q12___Estime_corpore_10";"Q12___Estime_corpore_11";"Q12___Estime_corpore_12";"Q12___Estime_corpore_13";"Q12___Estime_corpore_14";"Q12___Estime_corpore_15";"Q12___Estime_corpore_16";"Q12___Estime_corpore_17";"Q12___Estime_corpore_18";"Q12___Estime_corpore_19";"Q12___Estime_corpore_20";"Q12___Estime_corpore_21";"Q12___Estime_corpore_22";"Q12___Estime_corpore_23";"Q13___Internalisatio_1";"Q13___Internalisatio_2";"Q13___Internalisatio_3";"Q13___Internalisatio_4";"Q13___Internalisatio_5";"Q13___Internalisatio_6";"Q13___Internalisatio_7";"Q13___Internalisatio_8";"Q13___Internalisatio_9";"Q14___QSREIC_1";"Q14___QSREIC_2";"Q14___QSREIC_3";"Q14___QSREIC_4";"Q14___QSREIC_5";"Q14___QSREIC_6";"Q14___QSREIC_7";"Q14___QSREIC_8";"Q14___QSREIC_9";"Q14___QSREIC_10";"Q14___QSREIC_11";"Q14___QSREIC_12";"Q14___QSREIC_13";"Q14___QSREIC_14";"Q14___QSREIC_15";"Q14___QSREIC_16";"Q14___QSREIC_17";"Q14___QSREIC_18";"Q14___QSREIC_19";"Q14___QSREIC_20";"Q14___QSREIC_21";"Q14___QSREIC_22";"Q14___QSREIC_23";"Q14___QSREIC_24";"Q14___QSREIC_25";"Q14___QSREIC_26";"Q14___QSREIC_27"
"1";684;1;2022-02-09 10:22:18;"R_1lzAqx3K8KaXyrW";2;2;3;4;4;4;2;2;1;2;2;5;2;2;4;4;2;2;1;1;4;1;1;4;4;4;1;1;1;5;5;5;4;5;5;5;5;5;5;5;5;4;4;3;2;3;3;1;1;2;1;4;3;4;1;2;3;1;3;4;2;1;1;1;3;2;2;3;1;1;1;1;1;1;1;1;2;1;2;1;1;3;3;3;2;2;1;2;2;3;3;2;2;2;1;2;2;2;1;2;4;1;2
"2";796;1;2022-02-09 10:24:15;"R_Q6uwkUizEZMaEWR";4;4;5;2;5;4;3;4;2;2;3;3;4;4;4;4;2;2;4;4;4;2;4;4;2;2;1;3;2;4;3;3;4;5;5;4;4;4;2;2;3;2;2;2;3;3;3;4;4;3;3;3;3;3;2;3;3;4;3;4;3;1;1;3;2;3;3;3;3;2;2;4;2;2;2;4;2;3;3;1;4;2;4;4;2;4;2;3;2;2;2;3;2;4;2;1;4;3;3;3;4;2;1
"3";709;1;2022-02-09 10:27:58;"R_1HqqFQTCAHZZxl0";2;4;2;4;2;4;3;4;2;2;2;3;3;2;2;4;3;2;5;4;1;5;1;5;5;5;5;2;2;5;5;5;5;2;4;5;5;5;4;4;4;2;2;3;4;4;4;4;2;3;4;4;3;4;1;4;2;3;4;4;1;4;2;1;5;4;5;2;1;1;1;1;1;2;1;1;3;2;1;2;1;5;3;1;3;5;3;4;1;3;1;2;3;3;1;2;5;4;1;5;4;5;1
"4";1058;1;2022-02-09 10:28:49;"R_300sgaxl6kMFD3N";4;2;4;2;2;4;1;4;2;4;1;3;4;2;2;5;2;2;4;4;3;2;3;4;3;4;5;4;3;3;2;2;2;4;5;4;4;4;3;4;4;3;2;2;2;4;2;4;1;1;5;1;4;1;4;3;3;3;3;1;2;5;5;1;4;2;3;4;4;3;2;2;2;2;2;3;2;2;3;3;2;4;4;5;4;3;2;1;2;4;2;1;1;5;1;1;4;1;3;5;1;1;1
"5";931;1;2022-02-09 10:43:02;"R_3CHg7Ww36SHc7vd";4;4;4;4;3;4;3;3;4;2;2;4;4;4;4;3;4;2;4;3;4;4;4;4;3;3;2;4;2;3;2;2;4;3;4;4;4;4;3;2;3;3;2;1;3;3;2;5;2;3;4;2;4;1;3;3;3;3;3;2;3;3;3;1;5;3;2;5;5;3;5;5;4;3;4;3;2;4;3;4;5;4;4;4;4;2;2;2;2;1;2;2;2;3;3;1;3;3;4;3;4;3;2
"6";607;1;2022-02-09 10:43:34;"R_1j7AdwX4AHUWjYn";1;4;2;3;2;3;3;2;1;1;3;3;2;1;2;2;1;1;4;1;4;1;1;4;4;4;1;1;1;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;1;1;4;1;3;3;2;2;4;1;4;4;4;1;1;1;1;2;4;3;1;1;1;1;1;1;1;1;1;1;2;4;1;1;4;4;5;5;5;5;5;1;1;1;5;5;5;1;1;1;1;1;1;1;1;1
"7";583;1;2022-02-09 10:47:08;"R_RgJNfNurqMWe6hb";4;4;4;4;4;3;3;3;2;2;2;3;3;3;2;4;4;2;2;4;4;2;3;4;3;4;1;2;4;3;2;3;4;4;1;4;4;4;3;4;4;2;2;2;4;3;4;3;2;4;2;3;3;3;2;2;3;3;3;3;2;2;2;2;4;3;2;2;3;2;3;2;2;3;2;2;2;3;3;1;4;3;3;5;4;3;3;4;2;1;2;4;5;5;2;5;4;2;2;2;3;4;1
"8";501;1;2022-02-09 10:53:34;"R_22JiGuAMBj1VEgn";4;2;4;1;4;2;4;5;2;1;4;4;5;1;1;5;2;1;4;2;4;1;2;4;5;5;4;1;1;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;5;4;5;2;1;5;2;5;1;5;1;5;1;5;5;5;1;1;1;1;2;5;5;1;1;1;1;1;1;1;1;1;1;5;5;1;1;4;4;5;5;5;5;5;1;2;1;5;5;5;1;1;1;1;2;5;1;1;1
"9";841;1;2022-02-09 11:13:10;"R_s5NhhhUB1rS8wH7";4;2;4;3;4;2;1;2;2;4;1;2;3;3;2;5;2;2;4;4;4;3;2;4;2;3;1;4;4;3;4;4;3;4;5;2;2;2;3;3;4;2;2;4;2;2;1;2;1;2;4;1;3;1;3;2;3;3;2;1;2;4;3;1;2;2;1;4;1;1;1;1;1;1;1;1;2;2;2;1;3;4;2;3;3;2;1;2;2;1;2;1;1;4;1;2;4;2;4;3;2;1;4
"10";2937;1;2022-02-09 11:20:59;"R_2Ynu21jZGaFaR0B";4;4;4;4;4;5;2;4;2;2;2;5;2;2;5;4;2;2;2;2;5;2;2;4;2;2;1;2;2;5;2;5;5;4;4;4;4;4;2;2;2;3;3;3;4;4;3;3;4;3;3;3;3;3;2;4;2;4;4;4;2;4;1;4;3;4;3;2;1;1;2;4;1;1;1;2;1;3;2;3;3;4;3;4;2;3;3;4;1;2;4;3;2;4;1;2;3;4;4;4;2;3;3
