"";"ResponseId";"age";"genre";"CERQ_ACC";"CERQ_RUM";"CERQ_REA";"CERQ_CUL";"CERQ_REC";"CERQ_DRA";"CERQ_BLA";"CERQ_PLA";"CERQ_PERS";"CERQ_MAL";"CERQ_ADA";"AI_UPE";"AI_EPPR";"AI_RHSC";"AI_BFC";"AI_total";"BE_APP";"BE_ATT";"BE_Poids";"BE_total";"EE";"Interna";"QSREIC_dramatisation";"QSREIC_planif";"QSREIC_recentrage";"QSREIC_social";"QSREIC_culpa";"QSREIC_refus";"QSREIC_rumination";"QSREIC_physique";"QSREIC_évitement";"QSREIC_ADA";"QSREIC_MAL"
"1";"R_0GsgIFBoXqvnmGR";27;2;4;9;7;9;4;5;2;5;5;25;25;28;11;15;10;64;32;10;24;66;3;10;11;9;9;17;5;10;2;6;11;45;35
"2";"R_0PcPil62RqY2aaJ";30;2;6;9;10;5;9;2;4;10;4;20;39;18;30;22;14;84;25;17;14;56;10;11;5;11;14;16;6;17;3;3;3;58;20
"3";"R_0Pz5IOr2Kzhg0fv";27;2;8;10;4;10;4;9;4;5;3;33;24;11;14;6;3;34;11;8;9;28;4;29;12;6;3;4;10;5;5;10;13;18;50
"4";"R_0uiCHSoTtdH6T3X";10;2;6;7;3;5;2;5;4;5;6;21;22;27;25;19;7;78;23;10;18;51;7;18;8;10;10;17;5;16;3;4;8;53;28
"5";"R_0wSksLHdfBSpPyN";45;2;8;9;7;9;4;5;4;9;5;27;33;12;23;13;11;59;24;17;14;55;8;27;9;9;9;13;8;11;2;6;9;42;34
"6";"R_10HqiG2pfTL7New";20;2;6;5;7;5;4;3;2;6;6;15;29;20;19;18;9;66;28;14;19;61;8;20;8;9;8;14;5;8;2;3;4;39;22
"7";"R_10MX6arOK00auSR";18;1;8;8;8;6;4;2;7;9;6;23;35;23;12;6;12;53;23;12;11;46;5;10;12;9;9;18;8;12;4;5;7;48;36
"8";"R_11iOXkCS1Nlt8Dh";25;1;7;7;4;6;3;6;7;6;4;26;24;22;12;26;8;68;23;12;17;52;6;30;12;8;9;12;5;7;4;5;8;36;34
"9";"R_128SK7juzSFIKL6";14;2;6;7;8;4;3;4;4;7;4;19;28;13;26;23;9;71;32;14;19;65;7;27;7;9;9;17;6;13;3;5;3;48;24
"10";"R_12a6BELNpWtWfOc";26;2;4;10;7;7;5;6;4;6;3;27;25;11;19;16;8;54;16;9;15;40;6;26;7;12;9;7;7;13;5;4;14;41;37
"11";"R_12cpMwuULNFqksP";53;1;3;6;6;4;6;4;4;10;4;18;29;14;36;26;10;86;33;16;33;82;12;9;8;12;11;20;6;13;2;2;5;56;23
"12";"R_12DoZw11RI5sTVr";41;2;4;4;8;3;5;3;4;6;8;14;31;21;15;9;13;58;33;17;22;72;6;9;9;8;8;17;9;11;1;4;5;44;28
"13";"R_12FPZOxB1NoLPO2";33;2;5;6;8;5;7;3;5;6;9;19;35;22;27;12;11;72;27;15;16;58;6;29;11;8;10;13;9;8;3;8;4;39;35
"14";"R_12KmFQ0DRtd7K21";50;2;6;4;8;4;5;4;2;6;8;14;33;18;38;24;10;90;35;14;16;65;9;32;11;12;12;19;6;17;1;5;3;60;26
"15";"R_12rnY2owSijLWWp";17;2;4;5;4;4;3;4;4;6;4;17;21;16;24;19;11;70;22;10;10;42;7;33;11;8;8;15;8;7;2;6;7;38;34
"16";"R_1BR5P3i2W8cWwdc";47;1;6;4;8;5;7;2;2;8;6;13;35;19;31;26;10;86;30;13;19;62;9;19;5;10;10;18;4;10;1;4;3;48;17
"17";"R_1C1JXiPA5Xrgepz";51;1;8;8;8;4;8;3;4;8;7;19;39;10;32;23;11;76;32;14;24;70;9;15;11;12;13;19;5;17;2;3;8;61;29
"18";"R_1C2ApEFyQsm7VUD";52;1;6;7;6;4;4;3;6;4;8;20;28;29;40;24;11;104;32;13;23;68;12;10;9;6;7;20;5;13;1;2;7;46;24
"19";"R_1CKrKaOcHYQeG5b";20;1;9;4;9;4;4;2;3;6;7;13;35;19;35;15;12;81;39;12;30;81;11;19;4;7;9;17;4;15;1;3;3;48;15
"20";"R_1Cm6CVFRrpJ9hzv";25;1;5;4;7;4;6;3;3;6;6;14;30;27;33;18;9;87;35;13;32;80;9;13;9;7;8;18;3;14;1;3;5;47;21
